,Customer_ID,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Payday Loan,Credit-Builder Loan,Mortgage Loan,Debt Consolidation Loan,Student Loan,Home Equity Loan,Auto Loan,Personal Loan,Not Specified,Credit_Score,Payment_of_Min_Amount
0,CUS_0xd40,January,23,Scientist,19114.12,1824.843333,3,4,3,4,3,7.0,11.27,4.0,,809.98,26.82261962,22.083333333333332,49.57494921,80.41529544,High_spent_Small_value_payments,312.4940887,0,1,0,0,0,1,1,1,0,1,0.0
1,CUS_0xd40,February,23,Scientist,19114.12,,3,4,3,4,-1,,11.27,4.0,Good,809.98,31.94496006,,49.57494921,118.2802216,Low_spent_Large_value_payments,284.6291625,0,1,0,0,0,1,1,1,0,1,0.0
2,CUS_0xd40,March,-500,Scientist,19114.12,,3,4,3,4,3,7.0,,4.0,Good,809.98,28.60935202,22.25,49.57494921,81.69952126,Low_spent_Medium_value_payments,331.2098629,0,1,0,0,0,1,1,1,0,1,0.0
3,CUS_0xd40,April,23,Scientist,19114.12,,3,4,3,4,5,4.0,6.27,4.0,Good,809.98,31.37786187,22.333333333333332,49.57494921,199.4580744,Low_spent_Small_value_payments,223.4513097,0,1,0,0,0,1,1,1,0,1,0.0
4,CUS_0xd40,May,23,Scientist,19114.12,1824.843333,3,4,3,4,6,,11.27,4.0,Good,809.98,24.79734691,22.416666666666668,49.57494921,41.42015309,High_spent_Medium_value_payments,341.489231,0,1,0,0,0,1,1,1,0,1,0.0
5,CUS_0xd40,June,23,Scientist,19114.12,,3,4,3,4,8,4.0,9.27,4.0,Good,809.98,27.26225871,22.5,49.57494921,62.43017233,,340.4792118,0,1,0,0,0,1,1,1,0,1,0.0
6,CUS_0xd40,July,23,Scientist,19114.12,1824.843333,3,4,3,4,3,8.0,11.27,4.0,Good,809.98,22.53759303,22.583333333333332,49.57494921,178.3440674,Low_spent_Small_value_payments,244.5653167,0,1,0,0,0,1,1,1,0,1,0.0
7,CUS_0xd40,August,23,Scientist,19114.12,1824.843333,3,4,3,4,3,6.0,11.27,4.0,Good,809.98,23.9337948,,49.57494921,24.78521651,High_spent_Medium_value_payments,358.1241676,0,1,0,0,0,1,1,1,0,2,0.0
8,CUS_0x21b1,January,28,,34847.84,3037.986667,2,4,6,1,3,4.0,5.42,2.0,Good,605.03,24.46403064,26.583333333333332,18.81621457,104.2918252,Low_spent_Small_value_payments,470.6906269,0,1,0,0,0,0,0,0,0,2,0.0
9,CUS_0x21b1,February,28,Teacher,34847.84,3037.986667,2,4,6,1,7,1.0,7.42,2.0,Good,605.03,38.55084843,26.666666666666668,18.81621457,40.39123783,High_spent_Large_value_payments,484.5912143,0,1,0,0,0,0,0,0,0,1,0.0
10,CUS_0x21b1,March,28,Teacher,34847.84,3037.986667,2,1385,6,1,3,-1.0,5.42,2.0,,605.03,33.22495079,26.75,18.81621457,58.5159757,High_spent_Large_value_payments,466.4664764,0,1,0,0,0,0,0,0,0,2,0.0
11,CUS_0x21b1,April,28,Teacher,34847.84,,2,4,6,1,3,3.0,5.42,2.0,Good,605.03,39.18265566,26.833333333333332,18.81621457,99.30622796,Low_spent_Medium_value_payments,465.6762241,0,1,0,0,0,0,0,0,0,1,0.0
12,CUS_0x21b1,May,28,Teacher,34847.84,3037.986667,2,4,6,1,3,1.0,6.42,2.0,Good,605.03,34.97789475,26.916666666666668,18.81621457,130.1154202,Low_spent_Small_value_payments,444.8670319,0,1,0,0,0,0,0,0,0,1,0.0
13,CUS_0x21b1,June,28,Teacher,34847.84,3037.986667,2,4,6,1,3,0.0,5.42,2.0,Good,605.03,33.3810102,27.0,18.81621457,43.47719014,High_spent_Large_value_payments,481.5052619,0,1,0,0,0,0,0,0,0,1,0.0
14,CUS_0x21b1,July,28,Teacher,34847.84,,2,4,6,1,3,4.0,5.42,2.0,Good,605.03,31.13170161,27.083333333333332,18.81621457,70.10177421,High_spent_Medium_value_payments,464.8806779,0,1,0,0,0,0,0,0,0,1,
15,CUS_0x21b1,August,28,Teacher,34847.84,3037.986667,2,4,6,1,3,4.0,5.42,2.0,Good,605.03,32.93385629,27.166666666666668,18.81621457,218.9043435,Low_spent_Small_value_payments,356.0781086,0,1,0,0,0,0,0,0,0,1,0.0
16,CUS_0x2dbc,January,34,,143162.64,12187.22,1,5,8,3,5,8.0,7.1,3.0,Good,1303.01,28.61673482,17.75,246.9923195,168.4137027,,1043.315978,0,0,0,0,0,0,1,0,1,1,0.0
17,CUS_0x2dbc,February,34,Engineer,143162.64,12187.22,1,5,8,3,13,6.0,7.1,3.0,Good,1303.01,41.70257342,17.833333333333332,246.9923195,232.8603838,High_spent_Small_value_payments,998.8692968,0,0,0,0,0,0,1,0,1,1,0.0
18,CUS_0x2dbc,March,34,,143162.64,,1,5,8,3,8,7.0,11.1,,Good,1303.01,26.51981539,17.916666666666668,246.9923195,10000.0,High_spent_Small_value_payments,715.7413674,0,0,0,0,0,0,1,0,1,1,0.0
19,CUS_0x2dbc,April,34,Engineer,143162.64,12187.22,1,5,8,3,8,5.0,9.1,3.0,,1303.01,39.50164811,,246.9923195,825.2162699,Low_spent_Medium_value_payments,426.5134106,0,0,0,0,0,0,1,0,1,1,0.0
20,CUS_0x2dbc,May,34,,143162.64,12187.22,1,5,8,3,10,5.0,7.1,3.0,Good,1303.01,31.37614957,18.083333333333332,246.9923195,430.9475279,Low_spent_Large_value_payments,810.7821527,0,0,0,0,0,0,1,0,1,1,0.0
21,CUS_0x2dbc,June,34,Engineer,143162.64,12187.22,1,5,8,967,8,6.0,7.1,3.0,Good,1303.01,39.78399346,18.166666666666668,246.9923195,257.8080994,High_spent_Medium_value_payments,963.9215811,0,0,0,0,0,0,1,0,1,1,0.0
22,CUS_0x2dbc,July,34,Engineer,143162.64,12187.22,1,5,8,3,8,6.0,7.1,3.0,Good,1303.01,38.06862363,18.25,246.9923195,263.1741632,High_spent_Small_value_payments,968.5555174,0,0,0,0,0,0,1,0,1,2,0.0
23,CUS_0x2dbc,August,34,Engineer,143162.64,12187.22,1,5,8,3,8,6.0,7.1,3.0,Good,1303.01,38.37475295,18.333333333333332,246.9923195,10000.0,High_spent_Small_value_payments,895.4945832,0,0,0,0,0,0,1,0,1,2,0.0
24,CUS_0xb891,January,54,Entrepreneur,30689.89,2612.490833,2,5,4,1,0,6.0,1.99,4.0,Good,632.46,26.54422872,17.25,16.41545166,81.22885871,Low_spent_Large_value_payments,433.604773,0,0,0,0,0,0,0,0,1,2,0.0
25,CUS_0xb891,February,54,Entrepreneur,30689.89,2612.490833,2,5,4,1,5,3.0,1.99,4.0,Good,632.46,35.27998178,17.333333333333332,16.41545166,124.8818199,Low_spent_Small_value_payments,409.9518118,0,0,0,0,0,0,0,0,1,2,0.0
